Date,PX_LAST,PX_VOLUME,HISTORICAL_MARKET_CAP,PX_TO_BOOK_RATIO,PROF_MARGIN,TRAIL_12M_PROF_MARGIN,RETURN_ON_ASSET,TOT_DEBT_TO_TOT_EQY,NET_DEBT_TO_SHRHLDR_EQTY,CUR_RATIO,DVD_PAYOUT_RATIO,IS_EPS,BOOK_VAL_PER_SH,EQY_DPS,ASSET_TURNOVER,RETENTION_RATIO,CURR_ENTP_VAL,EBITDA,NET_DEBT_TO_EBITDA,PX_TO_EBITDA,EBITDA_EV_YIELD,EARN_YLD_HIST,EBIT_YIELD,NET_OPER_PROFIT_AFTER_TAX,NET_INCOME,ARD_TOTAL_SHARE_CAPITAL,QUICK_RATIO,DEBT_TO_MKT_CAP,CASH_RATIO,PX_TO_SALES_RATIO,PE,Open,Close,High,Low,Volume,WilliamR,Momentum_14,RSI_14,CCI_20,ADX_14_14,MACD_26_12,KST_10_15_20_30_10_10_10_15,TSI_25_13,ACCDIST_14,Chaikin,MFI_14,EoM_14,COPP_14,KelChM_20,KelChU_20,KelChD_20
1/31/2007,10.01,4883400,855.8913,0.8122,5.3749,5.3749,5.395,90.615,84.4222,1.7869,14.2173,1.406,12.3285,0.2,1.0037,85.7827,1798.6693,354.32800000000015,2.5864,2.4816,19.9593,14.0408,30.116999999999997,230.5524,123.462,117.961,0.8055,1.1187,0.077,0.3828,7.1195,9.87,10.01,10.2,9.73,140895.0,-55.91397849462364,-0.16000000000000014,0.3071399508567601,-62.76595159859247,0.23081661111265064,-0.06187456262487422,8.685656843102626,0.07549281888648326,-1.3128638496592444,20144.10740134801,0.5,-1.3329582729584795e-07,0.05612542199781136,10.1055,10.625999999999998,9.585
2/28/2007,10.5,21917873,855.8913,0.8517,5.3749,5.3749,5.395,90.615,84.4222,1.7869,14.2173,1.406,12.3285,0.2,1.0037,85.7827,1841.4054,354.32800000000015,2.5864,2.6022,19.9593,13.39,28.7211,230.5524,123.462,117.961,0.8055,1.0668,0.077,0.4014,7.468,10.4,10.5,10.77,9.73,225983.0,-51.57232704402518,-0.5999999999999996,0.42882192636085575,-57.277909264347976,0.2236316955244869,-0.10607777554825937,5.948877743713314,0.06400215650622748,-1.4139324311809398,59706.725939078206,0.5,-2.428485544343467e-07,0.053699109838899466,10.688833333333333,11.507833333333336,9.86983333333333
3/30/2007,9.56,3153375,839.4994,0.7276,5.6825,5.6825,5.7599,100.7182,94.2687,1.7378,15.9721,1.6696,13.1393,0.2667,1.0136,84.0279,1930.2994,404.135,2.6951,2.0773,20.9364,17.4642,37.7234,240.3886,146.612,117.961,0.7502,1.3862,0.0737,0.3254,5.7259,9.55,9.56,9.8,9.51,22515.0,-77.98742138364781,0.2900000000000009,0.2772976998662578,-58.07973059535099,0.2609795999196119,0.15478011380294102,-4.2069335920485535,-0.09313272870794684,-1.059984738270595,1944.076665602417,0.42857142857142855,-1.120740901593808e-08,-0.05033355794483088,9.972833333333334,10.61683333333334,9.328833333333332
4/30/2007,10.54,1996965,839.4994,0.8022,5.6825,5.6825,5.7599,100.7182,94.2687,1.7378,15.9721,1.6696,13.1393,0.2667,1.0136,84.0279,2016.3569,404.135,2.6951,2.2902,20.9364,15.8404,34.2159,240.3886,146.612,117.961,0.7502,1.2573,0.0737,0.3587,6.3129,10.64,10.54,10.93,10.27,544418.0,-27.272727272727323,0.8399999999999999,0.8283927600064671,195.7002879043071,0.4127515599881039,-0.05187470516850468,-0.07591213164494337,0.04353197440503143,0.5560108066421959,-26968.7517375479,0.6428571428571429,5.3964212046642294e-08,0.04034876618236071,9.846166666666667,10.285166666666672,9.40716666666666
5/31/2007,11.24,6646973,839.4994,0.8554,5.6825,5.6825,5.7599,100.7182,94.2687,1.7378,15.9721,1.6696,13.1393,0.2667,1.0136,84.0279,2077.8265,404.135,2.6951,2.4423,20.9364,14.8539,32.0851,240.3886,146.612,117.961,0.7502,1.179,0.0737,0.3826,6.7322,11.19,11.24,11.4,11.01,133770.0,-68.57142857142857,-0.28999999999999915,0.6362225272729877,2.0727835282824483,0.3352852786681354,-0.21686483715343208,15.906242481379989,0.1835658497946812,-1.173602477769144,26598.96386693217,0.35714285714285715,-1.81466175418582e-07,0.16788957515948574,11.202833333333334,11.738333333333335,10.667333333333328
6/29/2007,14.99,31595828,839.4994,1.1411,5.6825,5.6825,5.7599,100.7182,94.2687,1.7378,15.9721,1.6696,13.1393,0.2667,1.0136,84.0279,2407.4208,404.135,2.6951,3.2579,20.9364,11.1355,24.0531,240.3886,146.612,117.961,0.7502,0.8839,0.0737,0.5103,8.9782,15.1,14.99,15.69,14.85,364770.0,-38.24451410658307,2.41,0.7095073333972723,68.47434667937385,0.43730961003288615,-1.0812485217648788,33.33427016163773,0.4829797579457474,-0.5246940137971979,-349582.6701474475,0.42857142857142855,-1.4853167265880927e-08,0.4854769325615581,13.534833333333335,14.606333333333335,12.463333333333333
7/31/2007,13.64,8013015,839.4994,1.0381,5.6825,5.6825,5.7599,100.7182,94.2687,1.7378,15.9721,1.6696,13.1393,0.2667,1.0136,84.0279,2288.5795,404.135,2.6951,2.9638,20.9364,12.2403,26.4396,240.3886,146.612,117.961,0.7502,0.9716,0.0737,0.4642,8.1696,13.74,13.64,13.93,13.22,249143.0,-88.67924528301887,-0.8099999999999987,0.2663091603159199,-126.45761655211749,0.34045438080107954,-0.02605189679630016,10.558810232939171,0.016257285050012282,-1.5590750952186596,24283.958670935986,0.35714285714285715,-7.435358822310219e-07,0.007742935375888524,14.871500000000005,15.624,14.119000000000005
8/31/2007,12.93,2403375,839.4994,0.9843,5.6825,5.6825,5.7599,100.7182,94.2687,1.7378,15.9721,1.6696,13.1393,0.2667,1.0136,84.0279,2226.5245,404.135,2.6951,2.8103,20.9364,12.9091,27.8842,240.3886,146.612,117.961,0.7502,1.0246,0.0737,0.4402,7.7444,13.05,12.93,13.43,12.74,76208.0,-65.97938144329898,-0.25,0.6896107775458148,-1.0887900205740486,0.3088032259470159,0.30886596920881004,-12.516717770318555,-0.20078490487998574,0.4903696586329378,7083.312488544068,0.5,-3.1789191818575747e-07,-0.12666616607259035,13.038833333333335,13.72233333333333,12.355333333333338
9/28/2007,13.49,4647578,839.4994,1.0264,5.6825,5.6825,5.7599,100.7182,94.2687,1.7378,15.9721,1.6696,13.1393,0.2667,1.0136,84.0279,2275.1653,404.135,2.6951,2.9305,20.9364,12.3795,26.7402,240.3886,146.612,117.961,0.7502,0.9826,0.0737,0.45899999999999996,8.0798,13.2,13.49,13.6,12.76,91643.0,-75.83081570996977,-0.3200000000000003,0.4118678578777527,-59.86081542190121,0.21616015065963226,0.016339774477996727,4.041191240509319,-0.007347420256650365,-3.8423393020300938,33606.027782602105,0.42857142857142855,-2.415837765529969e-07,0.05483468200152518,13.695333333333336,14.57483333333334,12.815833333333336
10/31/2007,12.17,2723033,839.4994,0.9259999999999999,5.6825,5.6825,5.7599,100.7182,94.2687,1.7378,15.9721,1.6696,13.1393,0.2667,1.0136,84.0279,2159.2462,404.135,2.6951,2.6437,20.9364,13.7226,29.6413,240.3886,146.612,117.961,0.7502,1.0892,0.0737,0.4141,7.2892,12.13,12.17,12.51,11.93,80385.0,-51.181102362204726,-0.16000000000000014,0.5291711290797617,-60.3417109493009,0.15365070483026855,0.25222868744614857,-9.701129153618332,-0.14822848461866886,-0.5723731030416175,-5435.415688206249,0.5,-1.354612651339274e-06,-0.12195599522961635,12.463000000000005,13.255499999999996,11.6705
