Date,PX_LAST,PX_VOLUME,HISTORICAL_MARKET_CAP,PX_TO_BOOK_RATIO,PROF_MARGIN,TRAIL_12M_PROF_MARGIN,RETURN_ON_ASSET,TOT_DEBT_TO_TOT_EQY,NET_DEBT_TO_SHRHLDR_EQTY,CUR_RATIO,DVD_PAYOUT_RATIO,IS_EPS,BOOK_VAL_PER_SH,EQY_DPS,ASSET_TURNOVER,RETENTION_RATIO,CURR_ENTP_VAL,EBITDA,NET_DEBT_TO_EBITDA,PX_TO_EBITDA,EBITDA_EV_YIELD,EARN_YLD_HIST,EBIT_YIELD,NET_OPER_PROFIT_AFTER_TAX,NET_INCOME,ARD_TOTAL_SHARE_CAPITAL,QUICK_RATIO,DEBT_TO_MKT_CAP,CASH_RATIO,PX_TO_SALES_RATIO,PE,Open,Close,High,Low,Volume,WilliamR,Momentum_14,RSI_14,CCI_20,ADX_14_14,MACD_26_12,KST_10_15_20_30_10_10_10_15,TSI_25_13,ACCDIST_14,Chaikin,MFI_14,EoM_14,COPP_14,KelChM_20,KelChU_20,KelChD_20
1/31/2007,194.79,12912602,47133.9,6.3328,10.3456,10.3456,14.5452,10.8193,-3.6177,2.1511,43.1277,6.6248,30.7584,2.8571,1.4059,56.8723,53686.148,2862.5679999999998,-0.1078,18.8623,6.1133,3.4011,4.5612,1651.6637,1836.408,396.0,1.1943,0.0171,0.2782,3.0419,29.4032,197.86,194.79,199.29,193.32,619136.0,-49.21630094043892,7.219999999999999,0.4778922354678511,0.7642363939328319,0.14316241730900342,-0.9555048692973857,2.685024771835897,0.03712602845291252,0.6550066585340021,-190487.5101635749,0.5,-4.081216413356249e-06,0.03072155954232105,195.75366666666667,202.42266666666663,189.08466666666664
2/28/2007,178.86,29724549,47133.9,5.8149,10.3456,10.3456,14.5452,10.8193,-3.6177,2.1511,43.1277,6.6248,30.7584,2.8571,1.4059,56.8723,49270.748,2862.5679999999998,-0.1078,17.3198,6.1133,3.7039999999999997,4.9674,1651.6637,1836.408,396.0,1.1943,0.0186,0.2782,2.7931,26.9986,177.79,178.86,188.54,167.86,1376935.0,-78.2951854775059,-21.779999999999973,0.23763142282286664,-140.72939035526142,0.30024276835164226,3.358421599953857,-0.7316149221405612,-0.1095816715582549,-0.977776954650084,46536.38236202119,0.21428571428571427,-1.7676102339851777e-05,-0.04911201124008195,196.68183333333337,206.85683333333338,186.50683333333333
3/30/2007,189.14,7730615,52430.4,5.1369,12.6232,12.6232,18.7272,9.4367,-10.507,2.2283,29.5558,9.6669,36.8208,2.8571,1.4836,70.4442,51357.985,3649.3320000000003,-0.2939,14.3671,7.1057,5.1109,6.215,2216.7241,2679.6740000000004,396.0,1.2449,0.0184,0.3899,2.4699,19.5657,183.57,189.14,190.07,183.57,280904.0,-24.855212355212387,13.429999999999977,0.5180867323955556,61.85304766401649,0.15111483880077473,0.0795142738087975,-3.5069298913026734,-0.0067985451034590786,2.520153300113614,-12068.108732809138,0.6428571428571429,2.8431445095854403e-06,0.022572652596852847,181.86783333333335,192.23533333333356,171.50033333333323
4/30/2007,216.82,9018544,52430.4,5.8886,12.6232,12.6232,18.7272,9.4367,-10.507,2.2283,29.5558,9.6669,36.8208,2.8571,1.4836,70.4442,59030.485,3649.3320000000003,-0.2939,16.4696,7.1057,4.4585,5.4216,2216.7241,2679.6740000000004,396.0,1.2449,0.016,0.3899,2.8313,22.4291,202.14,216.82,220.93,201.43,734233.0,-10.59551430781132,22.95999999999998,0.8050312293923707,117.14348856614494,0.3833661737218024,-5.448591598042924,13.091108698377619,0.20659586510220931,-0.0009659127196065953,131463.35178169032,0.5714285714285714,2.128556970108116e-05,0.17651395903286576,199.08800000000005,207.58900000000025,190.58699999999996
5/31/2007,218.0,12775223,52430.4,5.9206,12.6232,12.6232,18.7272,9.4367,-10.507,2.2283,29.5558,9.6669,36.8208,2.8571,1.4836,70.4442,59357.185,3649.3320000000003,-0.2939,16.5591,7.1057,4.4344,5.3923,2216.7241,2679.6740000000004,396.0,1.2449,0.0159,0.3899,2.8467,22.5512,217.07,218.0,224.68,215.25,1340485.0,-55.1544324107501,-0.6800000000000068,0.6991088551777855,24.18346388369457,0.25851687226403197,-2.3829679717865417,8.272283647166818,0.10336348205401803,-2.560975132345181,-130182.42682530115,0.5,-1.728754979574409e-05,0.04745227576382285,217.79733333333343,226.99883333333358,208.59583333333325
6/29/2007,242.82,16562802,52430.4,6.5947,12.6232,12.6232,18.7272,9.4367,-10.507,2.2283,29.5558,9.6669,36.8208,2.8571,1.4836,70.4442,66237.685,3649.3320000000003,-0.2939,18.4445,7.1057,3.9811,4.8411,2216.7241,2679.6740000000004,396.0,1.2449,0.0143,0.3899,3.1708,25.1187,246.5,242.82,248.54,240.75,732035.0,-21.458457860131517,17.28,0.7976318620164246,103.90261717500064,0.44484794370485103,-6.821955829799607,9.595153846179569,0.26070071639948605,-2.2894699301163524,-153039.9638909725,0.5,9.859702139171307e-06,0.15233988186586855,232.0865000000001,241.67400000000018,222.49899999999997
7/31/2007,281.39,12812219,52430.4,7.6422,12.6232,12.6232,18.7272,9.4367,-10.507,2.2283,29.5558,9.6669,36.8208,2.8571,1.4836,70.4442,76929.685,3649.3320000000003,-0.2939,21.3744,7.1057,3.4354,4.1775,2216.7241,2679.6740000000004,396.0,1.2449,0.0123,0.3899,3.6745,29.1086,275.64,281.39,282.86,265.71,760087.0,-14.377777777777839,30.599999999999994,0.5085246652356575,87.44986199372654,0.31308601580652873,-10.17918346910784,16.652394871451953,0.3263729836640775,-15.978822070876017,187446.31756651704,0.6428571428571429,2.4146265647545914e-05,0.19988582467673666,260.40200000000004,274.5245000000004,246.2795
8/31/2007,267.0,12051605,52430.4,7.2513,12.6232,12.6232,18.7272,9.4367,-10.507,2.2283,29.5558,9.6669,36.8208,2.8571,1.4836,70.4442,72939.985,3649.3320000000003,-0.2939,20.2811,7.1057,3.6206,4.4027,2216.7241,2679.6740000000004,396.0,1.2449,0.013000000000000001,0.3899,3.4865,27.62,264.29,267.0,272.86,264.21,260844.0,-35.00269251480884,0.6800000000000068,0.5286723310194856,6.170766372058401,0.1601180316188643,0.0839924639290075,-1.1040446149453045,-0.003052771717885596,-11.513451094034155,-12231.385739954734,0.6428571428571429,-2.4438219765053766e-05,-0.0645130782916314,267.04516666666683,279.2006666666669,254.88966666666664
9/28/2007,310.54,10643930,52430.4,8.4337,12.6232,12.6232,18.7272,9.4367,-10.507,2.2283,29.5558,9.6669,36.8208,2.8571,1.4836,70.4442,85008.085,3649.3320000000003,-0.2939,23.588,7.1057,3.113,3.7854,2216.7241,2679.6740000000004,396.0,1.2449,0.0112,0.3899,4.055,32.1241,318.36,310.54,319.25,305.71,115858.0,-36.99667528629475,28.93000000000001,0.8625586540811013,107.71063633752657,0.6365345790753559,-10.892203213144967,12.047616653654973,0.3168142610635332,-1.1663949885207843,-45476.55040907249,0.5714285714285714,-1.5169245543802945e-05,0.2120133457480938,291.99966666666677,306.08866666666694,277.91066666666666
10/31/2007,284.96,16917436,52430.4,7.7392,12.6232,12.6232,18.7272,9.4367,-10.507,2.2283,29.5558,9.6669,36.8208,2.8571,1.4836,70.4442,77919.685,3649.3320000000003,-0.2939,21.6456,7.1057,3.3923,4.1251,2216.7241,2679.6740000000004,396.0,1.2449,0.0122,0.3899,3.7211,29.4779,285.64,284.96,291.43,280.71,2917925.0,-73.00710339384376,-29.68000000000001,0.4413557728265083,-78.3793010324382,0.16021307601918985,2.8866060500980666,-0.62729678042367,-0.05615725437268674,0.8301863145980578,-232518.7514723781,0.42857142857142855,-8.976916712249983e-05,-0.07757851393084626,300.1981666666668,318.55416666666696,281.84216666666657
