Date,PX_LAST,PX_VOLUME,HISTORICAL_MARKET_CAP,PX_TO_BOOK_RATIO,PROF_MARGIN,TRAIL_12M_PROF_MARGIN,RETURN_ON_ASSET,TOT_DEBT_TO_TOT_EQY,NET_DEBT_TO_SHRHLDR_EQTY,CUR_RATIO,DVD_PAYOUT_RATIO,IS_EPS,BOOK_VAL_PER_SH,EQY_DPS,ASSET_TURNOVER,RETENTION_RATIO,CURR_ENTP_VAL,EBITDA,NET_DEBT_TO_EBITDA,PX_TO_EBITDA,EBITDA_EV_YIELD,EARN_YLD_HIST,EBIT_YIELD,NET_OPER_PROFIT_AFTER_TAX,NET_INCOME,ARD_TOTAL_SHARE_CAPITAL,QUICK_RATIO,DEBT_TO_MKT_CAP,CASH_RATIO,PX_TO_SALES_RATIO,PE,Open,Close,High,Low,Volume,WilliamR,Momentum_14,RSI_14,CCI_20,ADX_14_14,MACD_26_12,KST_10_15_20_30_10_10_10_15,TSI_25_13,ACCDIST_14,Chaikin,MFI_14,EoM_14,COPP_14,KelChM_20,KelChU_20,KelChD_20
1/31/2007,599.95,916403,23847.5928,4.649,11.4155,11.4155,17.3772,0.0,-49.0921,2.4811,33.1324,30.1822,129.0482,10,1.5222,66.8676,22566.8772,2203.57,-1.2091,11.4502,10.4024,5.0308,7.0408,1184.4815,1269.33,420.56,1.4122,0.0,1.2775,2.2691,19.8776,598.0,599.95,606.5,592.8,1770.0,-39.025974025973966,40.0,0.6718648174382688,66.7096903916626,0.2981901171448721,-9.294415708108431,6.606986142761914,0.2328852455617991,-0.9843601308183408,-1895.469152979842,0.7142857142857143,-0.008962203525912687,0.122283099691734,583.4933333333331,604.5308333333335,562.4558333333332
2/28/2007,558.0,288440,23847.5928,4.324,11.4155,11.4155,17.3772,0.0,-49.0921,2.4811,33.1324,30.1822,129.0482,10,1.5222,66.8676,20802.649,2203.57,-1.2091,10.6495,10.4024,5.409,7.5701,1184.4815,1269.33,420.56,1.4122,0.0,1.2775,2.1105,18.4877,555.0,558.0,570.0,533.05,6421.0,-53.75347544022239,-20.850000000000023,0.2367221954556652,-89.4767054972043,0.4608312634214639,5.1702207249500125,-2.786576776634476,-0.10924692459755084,-1.1591151386042693,2204.1052573592333,0.35714285714285715,-0.012694049610734105,-0.07673863915125266,571.065833333333,595.2433333333336,546.8883333333331
3/30/2007,538.95,293248,23847.5928,4.1763,11.4155,11.4155,17.3772,0.0,-49.0921,2.4811,33.1324,30.1822,129.0482,10,1.5222,66.8676,20001.4917,2203.57,-1.2091,10.286,10.4024,5.6002,7.8377,1184.4815,1269.33,420.56,1.4122,0.0,1.2775,2.0384,17.8566,521.0,538.95,540.0,519.8,11072.0,-17.285714285714153,-5.099999999999909,0.43221043138511656,-11.142389322672443,0.2555242291452041,8.899840553639477,-7.8753458154383535,-0.17716817488231346,-4.154588357417997,6821.840561538409,0.5,-0.006515341961787687,-0.0913486822163265,534.4591666666663,555.5341666666669,513.3841666666665
4/30/2007,532.0,967381,23847.5928,4.1225,11.4155,11.4155,17.3772,0.0,-49.0921,2.4811,33.1324,30.1822,129.0482,10,1.5222,66.8676,19709.206,2203.57,-1.2091,10.1533,10.4024,5.6734,7.9401,1184.4815,1269.33,420.56,1.4122,0.0,1.2775,2.0121,17.6263,507.05,532.0,535.0,507.05,422950.0,-72.88135593220339,12.0,0.8212196286029314,35.8270648803796,0.5554787269708822,5.26364049178801,-4.924474293423671,-0.1383403012847101,-40.18436286007629,110676.70140518127,0.5,0.0245237083860714,-0.04864180792607654,518.7049999999997,539.9850000000001,497.42499999999984
5/31/2007,550.0,1176956,23847.5928,4.262,11.4155,11.4155,17.3772,0.0,-49.0921,2.4811,33.1324,30.1822,129.0482,10,1.5222,66.8676,20466.205,2203.57,-1.2091,10.4969,10.4024,5.4877,7.6802,1184.4815,1269.33,420.56,1.4122,0.0,1.2775,2.0802,18.2227,550.05,550.0,551.05,541.3,2538.0,-48.07692307692307,-3.200000000000045,0.5535850409670551,0.9535266632666234,0.2784254280598302,-6.181078434769804,5.456928182951334,0.13404579228136795,-1.0342691195271254,-6978.396051265918,0.6428571428571429,-0.0025207238671112906,0.06347106441670106,547.3508333333328,568.9083333333335,525.7933333333332
6/29/2007,577.75,522703,23847.5928,4.477,11.4155,11.4155,17.3772,0.0,-49.0921,2.4811,33.1324,30.1822,129.0482,10,1.5222,66.8676,21633.2451,2203.57,-1.2091,11.0265,10.4024,5.2241,7.3113,1184.4815,1269.33,420.56,1.4122,0.0,1.2775,2.1852,19.1421,557.4,577.75,580.0,555.0,5937.0,-15.056360708534653,37.75,0.698187311986559,120.79631573924514,0.4859930037775499,-8.296517071983773,2.2976079417067923,0.16690779594646504,614.2438070273007,-7755.435176417176,0.7142857142857143,-0.0001431046891867041,0.04411067516276077,548.0741666666663,566.5891666666669,529.5591666666667
7/31/2007,600.25,552444,23847.5928,4.6514,11.4155,11.4155,17.3772,0.0,-49.0921,2.4811,33.1324,30.1822,129.0482,10,1.5222,66.8676,22579.4939,2203.57,-1.2091,11.4559,10.4024,5.0283,7.0373,1184.4815,1269.33,420.56,1.4122,0.0,1.2775,2.2703,19.8875,590.6,600.25,604.85,579.0,6357.0,-46.300604932526724,29.850000000000023,0.8435074600038269,93.47482369428124,0.6563349440369612,-7.784229654167915,4.251003801857461,0.19182095072893285,-5.399900482249451,-3738.744639386723,0.5714285714285714,0.02772939828152533,0.03636718209903906,578.0941666666665,607.4941666666667,548.6941666666664
8/31/2007,619.05,561174,23847.5928,4.797,11.4155,11.4155,17.3772,0.0,-49.0921,2.4811,33.1324,30.1822,129.0482,10,1.5222,66.8676,23370.1373,2203.57,-1.2091,11.8147,10.4024,4.8756,6.8236,1184.4815,1269.33,420.56,1.4122,0.0,1.2775,2.3414,20.5104,610.0,619.05,629.45,609.0,39177.0,-24.942616679418613,20.199999999999925,0.4661215059404399,133.05149539471597,0.2167179864035848,-6.9305056859249135,3.5496411010476248,0.1376878375081846,-0.7349687600334306,-1559.6071799183844,0.6428571428571429,0.005352963132976382,0.04173809904944988,600.9649999999998,626.1175000000002,575.8124999999998
9/28/2007,658.2,196203,23847.5928,5.1004,11.4155,11.4155,17.3772,0.0,-49.0921,2.4811,33.1324,30.1822,129.0482,10,1.5222,66.8676,25016.939,2203.57,-1.2091,12.5619,10.4024,4.5856,6.4177,1184.4815,1269.33,420.56,1.4122,0.0,1.2775,2.4894,21.8076,607.0,658.2,671.3,602.0,74775.0,-9.421071556993825,37.950000000000045,0.5525237201359665,144.98234204645138,0.4068539454230653,-4.9951934434202485,2.932942273389352,0.11676922259797265,19.687469984164288,14637.837109581233,0.5,-0.08109204052844153,0.032325593632400805,619.8075,643.7450000000002,595.8699999999999
10/31/2007,661.75,413958,23847.5928,5.1279,11.4155,11.4155,17.3772,0.0,-49.0921,2.4811,33.1324,30.1822,129.0482,10,1.5222,66.8676,25166.2378,2203.57,-1.2091,12.6296,10.4024,4.561,6.3833,1184.4815,1269.33,420.56,1.4122,0.0,1.2775,2.5029,21.9252,669.85,661.75,670.0,648.25,4942.0,-38.441265060240944,40.89999999999998,0.5813876275852307,77.40145369675913,0.31214977581446995,-12.54114756161232,3.2941365319461315,0.12878825393960164,0.5200611604484361,-1011.4094347144346,0.5,-0.016523051106575284,0.07177644867694033,628.9524999999998,663.5225000000006,594.3824999999998
